,Estimates, Std. Error,z value ,Pr(>|z|),
road_type,0.21063,0.05336,3.948,7.90E-05,***
speed_limit,0.09018,0.04474,2.016,0.04382,*
weather_conditions,0.11691,0.04081,2.865,0.00417,**
carriageway_hazards,-0.19146,0.09186,-2.084,0.03714,*
vehicle_type,0.14387,0.04875,2.951,0.00316,**
skidding_and_overturning,-0.23356,0.05538,-4.218,2.47E-05,***
first_point_of_impact,0.05145,0.0761,0.676,0.499,
journey_purpose_of_driver,0.00616,0.03148,0.196,0.84487,
sex_of_driver,-0.08671,0.0281,-3.086,0.00203,**
age_of_casualty,-0.26134,0.02664,-9.811,< 2e-16,***
car_passenger,-0.54826,0.09859,-5.561,2.68E-08,***
,,,,,
,Estimate,Std. Error,z value,,
0|1,0.87552,0.09898,8.845,,
1|2,2.52084,0.10482,24.048,,
