,Estimate     ,StdErr   ,  t.value,p.value
inflation.Intercept,-0.79341558,0.14243368,-5.57042094,2.60E-08
inflation.road_type,0.188568372,0.05786817,3.2585853,1.12E-03
inflation.speed_limit,0.070258593,0.04668873,1.50482981,1.32E-01
inflation.weather_conditions,0.090388054,0.0476018,1.89883688,5.76E-02
inflation.carriageway_hazards,0.140954883,0.32527124,0.43334567,6.65E-01
inflation.vehicle_type,0.133653358,0.05141323,2.59959055,9.35E-03
inflation.skidding_and_overturning,-0.285960153,0.05860593,-4.87937206,1.08E-06
inflation.first_point_of_impact,0.001184584,0.10075844,0.01175667,9.91E-01
inflation.journey_purpose_of_driver,0.032099437,0.03588167,0.89459157,3.71E-01
inflation.sex_of_driver,-0.085840512,0.02890862,-2.9693739,2.99E-03
inflation.age_of_casualty,-0.22364411,0.03827608,-5.84292028,5.28E-09
inflation.car_passenger,-0.544155814,0.10105586,-5.38470338,7.41E-08
road_type,0.417811716,0.23937261,1.74544493,8.09E-02
speed_limit,0.256282164,0.12990381,1.97286107,4.85E-02
weather_conditions,0.4265001,0.18149087,2.34998099,1.88E-02
carriageway_hazards,-2.191234717,1.23987943,-1.76729661,7.72E-02
vehicle_type,0.224796835,0.15489232,1.45131035,1.47E-01
skidding_and_overturning,0.48158799,0.15801037,3.04782531,2.31E-03
first_point_of_impact,0.722517578,0.43040859,1.67867833,9.32E-02
journey_purpose_of_driver,-0.311913934,0.11936337,-2.61314611,8.98E-03
sex_of_driver,-0.057735055,0.1000209,-0.57722992,5.64E-01
age_of_casualty,-0.716161164,0.12200765,-5.86980529,4.49E-09
car_passenger,-0.206892713,0.44174447,-0.46835383,6.40E-01
cut 1,-1.490824444,1.27714049,-1.16731437,2.43E-01
cut 2,3.027519488,0.24486468,12.36405131,7.08E-35
