,Estimate ,Std. Error, z value, Pr(>|z|),
weather_conditions,0.07083,0.09063,0.781,0.434525,
urban_or_rural_area,0.0378,0.09095,0.416,0.677689,
skidding_and_overturning,-0.22462,0.09842,-2.282,0.022474,*
age_of_driver,-0.02012,0.10734,-0.187,0.851278,
road_type,0.31767,0.23649,1.343,0.179188,
vehicle_type,0.34036,0.18088,1.882,0.059886,.
journey_purpose_of_driver,-0.16554,0.10558,-1.568,0.11689,
sex_of_driver,-0.18459,0.09407,-1.962,0.049742,*
age_of_casualty,-0.27836,0.09525,-2.922,0.003474,**
car_passenger,-0.62916,0.1624,-3.874,0.000107,***
,,,,,
,Estimate,Std. Error,z,value,
0|1,0.7443,0.2494,,2.985,
1|2,1.9457,0.2586,,7.524,
