,Estimate,StdErr ,t.value,p.value
inflation.Intercept,0.10709577,0.26892878,0.39823097,6.90E-01
inflation.road_type,0.43352073,0.26038131,1.66494561,9.60E-02
inflation.speed_limit,-0.55087229,0.19151027,-2.87646349,4.04E-03
inflation.carriageway_hazards,-0.75564875,0.3282589,-2.30199013,2.14E-02
inflation.skidding_and_overturning,0.30856537,0.28077996,1.09895796,2.72E-01
inflation.sex_of_driver,4.48208174,34.42307786,0.13020572,8.96E-01
inflation.sex_of_casualty,1.59324952,1.33041856,1.19755509,2.31E-01
road_type,0.09911844,0.11558617,0.85752853,3.91E-01
speed_limit,0.33282498,0.11179692,2.9770496,2.92E-03
carriageway_hazards,-0.01084503,0.18942352,-0.05725281,9.54E-01
skidding_and_overturning,-0.39494548,0.09738596,-4.05546652,5.08E-05
sex_of_driver,-0.3950858,0.08540082,-4.62625278,3.82E-06
sex_of_casualty,-0.34742546,0.07246724,-4.79424164,1.68E-06
cut 1,0.26154986,0.15164352,1.72476774,8.46E-02
cut 2,1.85663056,0.03827846,48.50327152,0.00E+00
